period_group,from_bucket,to_state,rate,rate_lo,rate_hi,rate_n,rate_method,synthetic
covid,current,current,0.9465828750981933,0.9407843133559411,0.9518426912158165,6365,wilson_95,True
covid,current,dpd_30,0.02419481539670071,0.02069720660833816,0.02826642282154121,6365,wilson_95,True
covid,current,other_exit,0.0007855459544383347,0.00033557853320988033,0.0018377523280883501,6365,wilson_95,True
covid,current,prepaid,0.027965435978004712,0.024190885921820483,0.032309435894944435,6365,wilson_95,True
covid,current,unknown,0.0004713275726630008,0.00016030366230020555,0.0013849695000908956,6365,wilson_95,True
covid,dpd_30,current,0.10457516339869281,0.06539990814970786,0.16312109648171647,153,wilson_95,True
covid,dpd_30,dpd_60,0.8954248366013072,0.8368789035182836,0.9346000918502922,153,wilson_95,True
covid,dpd_60,current,0.050359712230215826,0.024605238882088647,0.10029955075902428,139,wilson_95,True
covid,dpd_60,dpd_90p,0.9496402877697842,0.8997004492409757,0.9753947611179112,139,wilson_95,True
covid,dpd_90p,credit_event,0.005747126436781609,0.0019563913026656096,0.016759510976651966,522,wilson_95,True
covid,dpd_90p,current,0.2471264367816092,0.2120596090492255,0.2858880618843789,522,wilson_95,True
covid,dpd_90p,dpd_90p,0.7452107279693486,0.7061320471641646,0.7807065749608251,522,wilson_95,True
covid,dpd_90p,reo,0.0019157088122605363,0.0003382410242372246,0.010770807784377385,522,wilson_95,True
covid,reo,credit_event,,,,0,"none: suppressed, fewer than 10 loans",True
crisis,current,current,0.946574179980076,0.9438330127239783,0.9491887696440567,27103,wilson_95,True
crisis,current,dpd_30,0.02010847507655979,0.01850403015515131,0.021848941103588034,27103,wilson_95,True
crisis,current,other_exit,0.0009593033981478065,0.0006547616821973713,0.0014052938869472094,27103,wilson_95,True
crisis,current,prepaid,0.03191528613068664,0.029888037487552747,0.03407520934087895,27103,wilson_95,True
crisis,current,unknown,0.00044275541452975685,0.0002532990627813989,0.000773806950189142,27103,wilson_95,True
crisis,dpd_30,current,0.4413919413919414,0.4002941471244688,0.483308694130176,546,wilson_95,True
crisis,dpd_30,dpd_60,0.5586080586080586,0.5166913058698238,0.5997058528755311,546,wilson_95,True
crisis,dpd_60,current,0.2564935064935065,0.2109309220125902,0.3080556403960173,308,wilson_95,True
crisis,dpd_60,dpd_90p,0.7402597402597403,0.688541234482758,0.7860586906074161,308,wilson_95,True
crisis,dpd_60,unknown,0.003246753246753247,0.0005733470177502354,0.01815924029580896,308,wilson_95,True
crisis,dpd_90p,credit_event,0.028169014084507043,0.021545495162451037,0.03675225314205244,1846,wilson_95,True
