reporting_date,scenario,ecl,ecl_lo,ecl_hi,ecl_n,ecl_method,synthetic
1999-12-01,adverse,1277265.8171559437,1149539.2354403494,1404992.398871538,135,synthetic fixture interval,True
1999-12-01,base,798291.1357224649,718462.0221502184,878120.2492947114,135,synthetic fixture interval,True
1999-12-01,final,894086.0720091606,804677.4648082446,983494.6792100767,135,synthetic fixture interval,True
1999-12-01,upside,638632.9085779719,574769.6177201747,702496.199435769,135,synthetic fixture interval,True
2000-12-01,adverse,2560558.00771377,2304502.206942393,2816613.808485147,277,synthetic fixture interval,True
2000-12-01,base,1600348.7548211063,1440313.8793389956,1760383.630303217,277,synthetic fixture interval,True
2000-12-01,final,1792390.605399639,1613151.5448596752,1971629.665939603,277,synthetic fixture interval,True
2000-12-01,upside,1280279.003856885,1152251.1034711965,1408306.9042425735,277,synthetic fixture interval,True
2001-12-01,adverse,4027723.240032168,3624950.9160289513,4430495.564035385,344,synthetic fixture interval,True
2001-12-01,base,2517327.025020105,2265594.3225180944,2769059.727522115,344,synthetic fixture interval,True
2001-12-01,final,2819406.2680225177,2537465.641220266,3101346.8948247693,344,synthetic fixture interval,True
2001-12-01,upside,2013861.620016084,1812475.4580144756,2215247.7820176925,344,synthetic fixture interval,True
2002-12-01,adverse,4598707.83900867,4138837.055107803,5058578.6229095375,387,synthetic fixture interval,True
2002-12-01,base,2874192.399380419,2586773.1594423773,3161611.6393184606,387,synthetic fixture interval,True
2002-12-01,final,3219095.4873060696,2897185.9385754624,3541005.0360366767,387,synthetic fixture interval,True
2002-12-01,upside,2299353.919504335,2069418.5275539015,2529289.3114547688,387,synthetic fixture interval,True
2003-12-01,adverse,3970033.3597727325,3573030.0237954594,4367036.695750006,396,synthetic fixture interval,True
2003-12-01,base,2481270.849857958,2233143.764872162,2729397.934843754,396,synthetic fixture interval,True
2003-12-01,final,2779023.351840913,2501121.0166568216,3056925.687025004,396,synthetic fixture interval,True
2003-12-01,upside,1985016.6798863662,1786515.0118977297,2183518.347875003,396,synthetic fixture interval,True
2004-12-01,adverse,4011026.244755478,3609923.6202799305,4412128.869231026,419,synthetic fixture interval,True
2004-12-01,base,2506891.402972174,2256202.2626749566,2757580.543269391,419,synthetic fixture interval,True
2004-12-01,final,2807718.371328835,2526946.534195951,3088490.2084617186,419,synthetic fixture interval,True
2004-12-01,upside,2005513.122377739,1804961.8101399653,2206064.434615513,419,synthetic fixture interval,True
2005-12-01,adverse,5746463.369509751,5171817.0325587755,6321109.706460726,456,synthetic fixture interval,True
2005-12-01,base,3591539.605943594,3232385.645349235,3950693.5665379534,456,synthetic fixture interval,True
2005-12-01,final,4022524.3586568255,3620271.922791143,4424776.794522508,456,synthetic fixture interval,True
2005-12-01,upside,2873231.6847548755,2585908.5162793878,3160554.853230363,456,synthetic fixture interval,True
2006-12-01,adverse,8715702.909214124,7844132.618292712,9587273.200135536,513,synthetic fixture interval,True
2006-12-01,base,5447314.318258828,4902582.886432945,5992045.75008471,513,synthetic fixture interval,True
2006-12-01,final,6100992.036449888,5490892.832804899,6711091.240094877,513,synthetic fixture interval,True
2006-12-01,upside,4357851.454607062,3922066.309146356,4793636.600067768,513,synthetic fixture interval,True
2007-12-01,adverse,9637301.623657808,8673571.461292027,10601031.786023589,535,synthetic fixture interval,True
2007-12-01,base,6023313.51478613,5420982.163307517,6625644.866264743,535,synthetic fixture interval,True
2007-12-01,final,6746111.136560466,6071500.022904419,7420722.250216513,535,synthetic fixture interval,True
2007-12-01,upside,4818650.811828904,4336785.730646013,5300515.893011794,535,synthetic fixture interval,True
2008-12-01,adverse,9271664.072916033,8344497.6656244295,10198830.480207637,532,synthetic fixture interval,True
2008-12-01,base,5794790.045572519,5215311.041015267,6374269.050129771,532,synthetic fixture interval,True
2008-12-01,final,6490164.851041222,5841148.3659371,7139181.336145344,532,synthetic fixture interval,True
2008-12-01,upside,4635832.036458016,4172248.8328122147,5099415.2401038185,532,synthetic fixture interval,True
2009-12-01,adverse,7585031.595751543,6826528.4361763885,8343534.755326697,485,synthetic fixture interval,True
2009-12-01,base,4740644.747344714,4266580.2726102425,5214709.222079185,485,synthetic fixture interval,True
2009-12-01,final,5309522.11702608,4778569.905323472,5840474.328728689,485,synthetic fixture interval,True
2009-12-01,upside,3792515.7978757713,3413264.2180881943,4171767.3776633483,485,synthetic fixture interval,True
2010-12-01,adverse,5779579.256471951,5201621.330824755,6357537.182119146,461,synthetic fixture interval,True
2010-12-01,base,3612237.0352949686,3251013.331765472,3973460.7388244653,461,synthetic fixture interval,True
2010-12-01,final,4045705.479530365,3641134.9315773286,4450276.027483402,461,synthetic fixture interval,True
2010-12-01,upside,2889789.6282359753,2600810.6654123776,3178768.591059573,461,synthetic fixture interval,True
2011-12-01,adverse,4270146.729418296,3843132.056476467,4697161.402360126,447,synthetic fixture interval,True
2011-12-01,base,2668841.7058864357,2401957.535297792,2935725.8764750795,447,synthetic fixture interval,True
2011-12-01,final,2989102.710592808,2690192.4395335275,3288012.981652089,447,synthetic fixture interval,True
2011-12-01,upside,2135073.364709148,1921566.0282382334,2348580.701180063,447,synthetic fixture interval,True
2012-12-01,adverse,3506310.011659971,3155679.0104939737,3856941.012825968,383,synthetic fixture interval,True
2012-12-01,base,2191443.757287482,1972299.3815587335,2410588.13301623,383,synthetic fixture interval,True
2012-12-01,final,2454417.0081619797,2208975.307345782,2699858.7089781775,383,synthetic fixture interval,True
2012-12-01,upside,1753155.0058299855,1577839.5052469869,1928470.506412984,383,synthetic fixture interval,True
2013-12-01,adverse,3629272.285143084,3266345.0566287753,3992199.5136573925,378,synthetic fixture interval,True
2013-12-01,base,2268295.178214427,2041465.6603929843,2495124.69603587,378,synthetic fixture interval,True
2013-12-01,final,2540490.5996001586,2286441.5396401426,2794539.6595601747,378,synthetic fixture interval,True
2013-12-01,upside,1814636.142571542,1633172.5283143877,1996099.7568286962,378,synthetic fixture interval,True
2014-12-01,adverse,4225324.943055793,3802792.4487502133,4647857.437361372,426,synthetic fixture interval,True
2014-12-01,base,2640828.08940987,2376745.280468883,2904910.898350857,426,synthetic fixture interval,True
2014-12-01,final,2957727.460139055,2661954.7141251494,3253500.20615296,426,synthetic fixture interval,True
2014-12-01,upside,2112662.4715278964,1901396.2243751066,2323928.718680686,426,synthetic fixture interval,True
2015-12-01,adverse,5045138.000693707,4540624.2006243365,5549651.800763077,457,synthetic fixture interval,True
2015-12-01,base,3153211.250433566,2837890.1253902093,3468532.375476923,457,synthetic fixture interval,True
2015-12-01,final,3531596.600485595,3178436.9404370356,3884756.2605341543,457,synthetic fixture interval,True
2015-12-01,upside,2522569.0003468534,2270312.1003121682,2774825.9003815386,457,synthetic fixture interval,True
2016-12-01,adverse,3409067.7444768865,3068160.9700291976,3749974.5189245753,396,synthetic fixture interval,True
2016-12-01,base,2130667.340298054,1917600.6062682485,2343734.074327859,396,synthetic fixture interval,True
2016-12-01,final,2386347.4211338204,2147712.6790204383,2624982.1632472025,396,synthetic fixture interval,True
2016-12-01,upside,1704533.8722384432,1534080.4850145988,1874987.2594622876,396,synthetic fixture interval,True
2017-12-01,adverse,3562479.335212751,3206231.401691476,3918727.268734026,372,synthetic fixture interval,True
2017-12-01,base,2226549.584507969,2003894.6260571722,2449204.542958766,372,synthetic fixture interval,True
2017-12-01,final,2493735.534648926,2244361.981184033,2743109.088113819,372,synthetic fixture interval,True
2017-12-01,upside,1781239.6676063754,1603115.700845738,1959363.634367013,372,synthetic fixture interval,True
2018-12-01,adverse,3064518.823300996,2758066.9409708963,3370970.7056310955,350,synthetic fixture interval,True
2018-12-01,base,1915324.2645631223,1723791.83810681,2106856.6910194345,350,synthetic fixture interval,True
2018-12-01,final,2145163.176310697,1930646.8586796273,2359679.4939417667,350,synthetic fixture interval,True
2018-12-01,upside,1532259.411650498,1379033.4704854481,1685485.3528155477,350,synthetic fixture interval,True
2019-12-01,adverse,2551397.1732789148,2296257.4559510234,2806536.890606806,328,synthetic fixture interval,True
2019-12-01,base,1594623.233299322,1435160.9099693897,1754085.5566292542,328,synthetic fixture interval,True
