vintage_year,vintage_quarter,months_on_book,fully_observed,cum_default_rate,cum_default_rate_lo,cum_default_rate_hi,cum_default_rate_n,cum_default_rate_method,cum_loss_rate,cum_loss_rate_lo,cum_loss_rate_hi,cum_loss_rate_n,cum_loss_rate_method,synthetic
1999,1999Q1,6,True,0.0,0.0,0.113517091390478,30,wilson_95,0.0,,,30,none: synthetic fixture,True
1999,1999Q1,12,True,0.1,0.03459925995971615,0.25621441315266624,30,wilson_95,0.0,,,30,none: synthetic fixture,True
1999,1999Q1,18,True,0.13333333333333333,0.05309569424218104,0.2968168394441695,30,wilson_95,0.0,,,30,none: synthetic fixture,True
1999,1999Q1,24,True,0.13333333333333333,0.05309569424218104,0.2968168394441695,30,wilson_95,0.0,,,30,none: synthetic fixture,True
1999,1999Q1,30,True,0.13333333333333333,0.05309569424218104,0.2968168394441695,30,wilson_95,0.0,,,30,none: synthetic fixture,True
1999,1999Q1,36,True,0.13333333333333333,0.05309569424218104,0.2968168394441695,30,wilson_95,0.0,,,30,none: synthetic fixture,True
1999,1999Q2,6,True,0.027777777777777776,0.004920280295569679,0.141700337350308,36,wilson_95,0.0,,,36,none: synthetic fixture,True
1999,1999Q2,12,True,0.027777777777777776,0.004920280295569679,0.141700337350308,36,wilson_95,0.0,,,36,none: synthetic fixture,True
1999,1999Q2,18,True,0.027777777777777776,0.004920280295569679,0.141700337350308,36,wilson_95,0.0,,,36,none: synthetic fixture,True
1999,1999Q2,24,True,0.05555555555555555,0.015369663767066846,0.18144974107611211,36,wilson_95,0.0,,,36,none: synthetic fixture,True
1999,1999Q2,30,True,0.08333333333333333,0.0287480892712918,0.21827010276918848,36,wilson_95,0.0,,,36,none: synthetic fixture,True
1999,1999Q2,36,True,0.08333333333333333,0.0287480892712918,0.21827010276918848,36,wilson_95,0.01566567994620945,,,36,none: synthetic fixture,True
1999,1999Q3,6,True,0.023255813953488372,0.004116981177419918,0.12059267861216882,43,wilson_95,0.0,,,43,none: synthetic fixture,True
