grade,year,marginal_pd,marginal_pd_lo,marginal_pd_hi,marginal_pd_n,marginal_pd_method,cumulative_pd,cumulative_pd_lo,cumulative_pd_hi,cumulative_pd_n,cumulative_pd_method,synthetic
A,1,0.0005,0.0004,0.0006000000000000001,500,synthetic fixture interval,0.0005,0.0004,0.0006000000000000001,500,synthetic fixture interval,True
A,2,0.0004997500000000001,0.00039980000000000007,0.0005997000000000001,500,synthetic fixture interval,0.0009997500000000002,0.0007998000000000001,0.0011997000000000002,500,synthetic fixture interval,True
A,3,0.0006493501625000001,0.0005194801300000001,0.0007792201950000002,500,synthetic fixture interval,0.0016491001625000003,0.0013192801300000003,0.0019789201950000004,500,synthetic fixture interval,True
A,4,0.0006489280848943751,0.0005191424679155001,0.00077871370187325,500,synthetic fixture interval,0.0022980282473943755,0.0018384225979155005,0.002757633896873251,500,synthetic fixture interval,True
A,5,0.0006485062816391937,0.000518805025311355,0.0007782075379670324,500,synthetic fixture interval,0.0029465345290335693,0.0023572276232268555,0.003535841434840283,500,synthetic fixture interval,True
A,6,0.0004985267327354832,0.00039882138618838655,0.0005982320792825798,500,synthetic fixture interval,0.0034450612617690527,0.002756049009415242,0.0041340735141228635,500,synthetic fixture interval,True
A,7,0.0004982774693691155,0.0003986219754952924,0.0005979329632429386,500,synthetic fixture interval,0.0039433387311381685,0.0031546709849105347,0.004732006477365802,500,synthetic fixture interval,True
A,8,0.0004980283306344309,0.00039842266450754475,0.0005976339967613171,500,synthetic fixture interval,0.004441367061772599,0.0035530936494180794,0.005329640474127119,500,synthetic fixture interval,True
A,9,0.0004977793164691138,0.00039822345317529103,0.0005973351797629366,500,synthetic fixture interval,0.004939146378241712,0.00395131710259337,0.005926975653890055,500,synthetic fixture interval,True
A,10,0.0004975304268108792,0.0003980243414487034,0.0005970365121730551,500,synthetic fixture interval,0.005436676805052592,0.004349341444042074,0.00652401216606311,500,synthetic fixture interval,True
B,1,0.001,0.0008,0.0012000000000000001,500,synthetic fixture interval,0.001,0.0008,0.0012000000000000001,500,synthetic fixture interval,True
B,2,0.000999,0.0007992000000000001,0.0011988,500,synthetic fixture interval,0.001999,0.0015991999999999998,0.0023988,500,synthetic fixture interval,True
B,3,0.0012974013000000002,0.00103792104,0.0015568815600000003,500,synthetic fixture interval,0.0032964013,0.00263712104,0.00395568156,500,synthetic fixture interval,True
B,4,0.0012957146783100003,0.0010365717426480002,0.0015548576139720004,500,synthetic fixture interval,0.004592115978310001,0.0036736927826480003,0.005510539173972001,500,synthetic fixture interval,True
B,5,0.0012940302492281972,0.0010352241993825577,0.0015528362990738366,500,synthetic fixture interval,0.005886146227538198,0.004708916982030558,0.007063375473045837,500,synthetic fixture interval,True
B,6,0.0009941138537724618,0.0007952910830179695,0.0011929366245269541,500,synthetic fixture interval,0.00688026008131066,0.005504208065048527,0.008256312097572792,500,synthetic fixture interval,True
B,7,0.0009931197399186892,0.0007944957919349514,0.0011917436879024272,500,synthetic fixture interval,0.007873379821229348,0.006298703856983478,0.009448055785475218,500,synthetic fixture interval,True
B,8,0.0009921266201787706,0.0007937012961430165,0.0011905519442145247,500,synthetic fixture interval,0.008865506441408119,0.007092405153126495,0.010638607729689742,500,synthetic fixture interval,True
B,9,0.0009911344935585919,0.0007929075948468735,0.0011893613922703103,500,synthetic fixture interval,0.009856640934966712,0.00788531274797337,0.011827969121960054,500,synthetic fixture interval,True
B,10,0.0009901433590650333,0.0007921146872520267,0.00118817203087804,500,synthetic fixture interval,0.010846784294031745,0.008677427435225395,0.013016141152838095,500,synthetic fixture interval,True
C,1,0.002,0.0016,0.0024000000000000002,500,synthetic fixture interval,0.002,0.0016,0.0024000000000000002,500,synthetic fixture interval,True
C,2,0.001996,0.0015968,0.0023952,500,synthetic fixture interval,0.0039959999999999996,0.0031967999999999996,0.0047951999999999995,500,synthetic fixture interval,True
C,3,0.0025896104,0.00207168832,0.0031075324800000003,500,synthetic fixture interval,0.0065856104,0.00526848832,0.00790273248,500,synthetic fixture interval,True
C,4,0.0025828774129600003,0.002066301930368,0.0030994528955520005,500,synthetic fixture interval,0.009168487812960001,0.0073347902503680005,0.011002185375552,500,synthetic fixture interval,True
C,5,0.0025761619316863045,0.0020609295453490437,0.0030913943180235653,500,synthetic fixture interval,0.011744649744646306,0.009395719795717045,0.014093579693575567,500,synthetic fixture interval,True
C,6,0.0019765107005107075,0.001581208560408566,0.002371812840612849,500,synthetic fixture interval,0.013721160445157013,0.01097692835612561,0.016465392534188418,500,synthetic fixture interval,True
C,7,0.001972557679109686,0.0015780461432877487,0.002367069214931623,500,synthetic fixture interval,0.0156937181242667,0.01255497449941336,0.01883246174912004,500,synthetic fixture interval,True
C,8,0.0019686125637514667,0.0015748900510011734,0.00236233507650176,500,synthetic fixture interval,0.017662330688018167,0.014129864550414534,0.021194796825621802,500,synthetic fixture interval,True
C,9,0.001964675338623964,0.001571740270899171,0.0023576104063487567,500,synthetic fixture interval,0.019627006026642132,0.015701604821313705,0.023552407231970558,500,synthetic fixture interval,True
C,10,0.0019607459879467156,0.0015685967903573724,0.0023528951855360586,500,synthetic fixture interval,0.021587752014588846,0.017270201611671077,0.025905302417506614,500,synthetic fixture interval,True
D,1,0.004,0.0032,0.0048000000000000004,500,synthetic fixture interval,0.004,0.0032,0.0048000000000000004,500,synthetic fixture interval,True
D,2,0.003984,0.0031872,0.0047808,500,synthetic fixture interval,0.007984,0.0063872,0.0095808,500,synthetic fixture interval,True
D,3,0.005158483200000001,0.004126786560000001,0.0061901798400000015,500,synthetic fixture interval,0.013142483200000001,0.01051398656,0.01577097984,500,synthetic fixture interval,True
D,4,0.0051316590873600005,0.004105327269888001,0.0061579909048320005,500,synthetic fixture interval,0.01827414228736,0.014619313829888,0.021928970744832,500,synthetic fixture interval,True
D,5,0.005104974460105729,0.004083979568084583,0.006125969352126875,500,synthetic fixture interval,0.02337911674746573,0.018703293397972585,0.028054940096958875,500,synthetic fixture interval,True
D,6,0.003906483533010137,0.0031251868264081098,0.004687780239612165,500,synthetic fixture interval,0.02728560028047587,0.021828480224380695,0.032742720336571045,500,synthetic fixture interval,True
D,7,0.0038908575988780966,0.003112686079102477,0.004669029118653716,500,synthetic fixture interval,0.031176457879353966,0.024941166303483173,0.03741174945522476,500,synthetic fixture interval,True
D,8,0.0038752941684825843,0.0031002353347860676,0.004650353002179101,500,synthetic fixture interval,0.03505175204783655,0.028041401638269244,0.04206210245740386,500,synthetic fixture interval,True
D,9,0.003859792991808654,0.0030878343934469233,0.004631751590170385,500,synthetic fixture interval,0.03891154503964521,0.03112923603171617,0.04669385404757425,500,synthetic fixture interval,True
D,10,0.003844353819841419,0.0030754830558731355,0.004613224583809703,500,synthetic fixture interval,0.04275589885948663,0.034204719087589305,0.05130707863138395,500,synthetic fixture interval,True
E,1,0.008,0.0064,0.009600000000000001,500,synthetic fixture interval,0.008,0.0064,0.009600000000000001,500,synthetic fixture interval,True
E,2,0.007936,0.0063488,0.0095232,500,synthetic fixture interval,0.015936,0.0127488,0.0191232,500,synthetic fixture interval,True
E,3,0.010234265600000002,0.008187412480000001,0.012281118720000003,500,synthetic fixture interval,0.0261702656,0.02093621248,0.03140431872,500,synthetic fixture interval,True
E,4,0.01012782923776,0.008102263390208,0.012153395085312001,500,synthetic fixture interval,0.03629809483776,0.029038475870208004,0.043557713805312,500,synthetic fixture interval,True
E,5,0.010022499813687297,0.008017999850949838,0.012026999776424756,500,synthetic fixture interval,0.0463205946514473,0.03705647572115784,0.05558471358173676,500,synthetic fixture interval,True
E,6,0.007629435242788422,0.006103548194230738,0.009155322291346106,500,synthetic fixture interval,0.053950029894235724,0.043160023915388576,0.06474003587308287,500,synthetic fixture interval,True
E,7,0.007568399760846114,0.006054719808676891,0.009082079713015338,500,synthetic fixture interval,0.061518429655081835,0.049214743724065466,0.0738221155860982,500,synthetic fixture interval,True
E,8,0.007507852562759346,0.006006282050207477,0.009009423075311215,500,synthetic fixture interval,0.06902628221784118,0.055221025774272944,0.08283153866140942,500,synthetic fixture interval,True
E,9,0.007447789742257271,0.005958231793805817,0.008937347690708725,500,synthetic fixture interval,0.07647407196009845,0.06117925756807876,0.09176888635211813,500,synthetic fixture interval,True
E,10,0.0073882074243192125,0.00591056593945537,0.008865848909183054,500,synthetic fixture interval,0.08386227938441766,0.06708982350753413,0.10063473526130119,500,synthetic fixture interval,True
F,1,0.016,0.0128,0.019200000000000002,500,synthetic fixture interval,0.016,0.0128,0.019200000000000002,500,synthetic fixture interval,True
F,2,0.015744,0.0125952,0.0188928,500,synthetic fixture interval,0.031744,0.0253952,0.0380928,500,synthetic fixture interval,True
F,3,0.0201397248,0.01611177984,0.024167669760000003,500,synthetic fixture interval,0.0518837248,0.04150697984,0.062260469760000006,500,synthetic fixture interval,True
F,4,0.01972081852416,0.015776654819328002,0.023664982228992,500,synthetic fixture interval,0.07160454332416,0.057283634659327995,0.085925451988992,500,synthetic fixture interval,True
F,5,0.019310625498857474,0.01544850039908598,0.023172750598628968,500,synthetic fixture interval,0.09091516882301748,0.07273213505841399,0.10909820258762097,500,synthetic fixture interval,True
F,6,0.014545357298831722,0.011636285839065378,0.017454428758598067,500,synthetic fixture interval,0.1054605261218492,0.08436842089747935,0.12655263134621902,500,synthetic fixture interval,True
F,7,0.014312631582050412,0.01145010526564033,0.017175157898460497,500,synthetic fixture interval,0.11977315770389961,0.09581852616311969,0.14372778924467955,500,synthetic fixture interval,True
